Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jan 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Daily Visitation,June 1,"8,117",0,Infinity
Daily Visitation,June 2,"7,759",0,Infinity
Daily Visitation,June 3,"8,645",0,Infinity
Daily Visitation,June 4,"12,944",0,Infinity
Daily Visitation,June 5,"13,581",0,Infinity
Daily Visitation,June 6,"13,700",0,Infinity
Daily Visitation,June 7,"13,028",0,Infinity
Daily Visitation,June 8,"13,068",0,Infinity
Daily Visitation,June 9,"15,004",0,Infinity
Daily Visitation,June 10,"13,129",0,Infinity
Daily Visitation,June 11,"13,296",0,Infinity
Daily Visitation,June 12,"16,196",0,Infinity
Daily Visitation,June 13,"18,040",0,Infinity
Daily Visitation,June 14,"18,873",0,Infinity
Daily Visitation,June 15,"16,945",0,Infinity
Daily Visitation,June 16,"15,442",0,Infinity
Daily Visitation,June 17,"14,272",0,Infinity
Daily Visitation,June 18,"13,932",0,Infinity
Daily Visitation,June 19,"22,602",0,Infinity
Daily Visitation,June 20,"19,157",0,Infinity
Daily Visitation,June 21,"19,445",0,Infinity
Daily Visitation,June 22,"21,310",0,Infinity
Daily Visitation,June 23,"19,032",0,Infinity
Daily Visitation,June 24,"18,150",0,Infinity
Daily Visitation,June 25,"18,159",0,Infinity
Daily Visitation,June 26,"20,035",0,Infinity
Daily Visitation,June 27,"21,121",0,Infinity
Daily Visitation,June 28,"21,163",0,Infinity
Daily Visitation,June 29,"21,947",0,Infinity
Daily Visitation,June 30,"20,050",0,Infinity
Daily Visitation,June 31,0,0,NaN

Label,Value,YTD
,,

Label,ThisMonth,SameMonthLastYear,PercentChange,ThisYearYTD,LastYearYTD,PercentChangeYTD,FiscalYTD
Recreation Visitors,"351,896",,0.0,"586,151",,0.0,"586,151"
Non-Recreation Visitors,"136,849",,0.0,"233,273",,0.0,"233,273"
Total Visitors,"488,745",,0.0,"819,424",,0.0,"819,424"

﻿Title,ReportDate,Bookmark
Mount Rushmore NMEM,Report Date: Jul 1993,Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/Park%20Specific%20Reports/Daily%20and%20Monthly

Description,Date,ThisMonth,SameMonthLastYear,PercentChange
Daily Visitation,July 1,"19,123",0,Infinity
Daily Visitation,July 2,"19,508",0,Infinity
Daily Visitation,July 3,"27,385",0,Infinity
Daily Visitation,July 4,"31,428",0,Infinity
Daily Visitation,July 5,"26,738",0,Infinity
Daily Visitation,July 6,"24,648",0,Infinity
Daily Visitation,July 7,"28,908",0,Infinity
Daily Visitation,July 8,"23,889",0,Infinity
Daily Visitation,July 9,"22,931",0,Infinity
Daily Visitation,July 10,"22,550",0,Infinity
Daily Visitation,July 11,"25,881",0,Infinity
Daily Visitation,July 12,"25,037",0,Infinity
Daily Visitation,July 13,"25,477",0,Infinity
Daily Visitation,July 14,"22,744",0,Infinity
Daily Visitation,July 15,"22,298",0,Infinity
Daily Visitation,July 16,"21,264",0,Infinity
Daily Visitation,July 17,"24,618",0,Infinity
Daily Visitation,July 18,"26,783",0,Infinity
Daily Visitation,July 19,"27,831",0,Infinity
Daily Visitation,July 20,"26,587",0,Infinity
Daily Visitation,July 21,"24,716",0,Infinity
Daily Visitation,July 22,"22,831",0,Infinity
Daily Visitation,July 23,"21,929",0,Infinity
Daily Visitation,July 24,"22,293",0,Infinity
Daily Visitation,July 25,"27,406",0,Infinity
Daily Visitation,July 26,"25,261",0,Infinity
Daily Visitation,July 27,"26,670",0,Infinity
Daily Visitation,July 28,"25,051",0,Infinity
Daily Visitation,July 29,"22,140",0,Infinity
Daily Visitation,July 30,"21,563",0,Infinity
Daily Visitation,July 31,"23,475",0,Infinity

